"Path","Bytes","SHA256"
"analysis-stdout.json","9079","7cd60e6c0afdf2b83f7df8a5b3380d374ebc4e9d0597b09d9f4593a9e582bd63"
"analysis-summary.json","13508","0c6968beffc5f73d9119f24b7b2dc613408949e6a1e4e540fa1d8e60365bec6d"
"analyze_results.py","25555","bf500bc6b0cf8af18799d6593538496cb0de49a1a944100fa8da78157fc7b17e"
"capacity-forecast.csv","1311","bcf6a788a2e60f890d0a0023afff5f834d7ac0518f606d45900e0a9c6b3021e5"
"capacity-forecast.json","1311","ed62d9707a2dee1b161797bb3efcbeb3040ee384f4a47ef1e085e67e2b7eb701"
"charts/01-task-latency.png","46299","f852dd9899f20a0b825461720ac139a2fa4e6fdf00c7444ed1ca21053b28cd73"
"charts/02-server-resources.png","59364","3e9ca912e1759876201e1a007d1dd36fe974d92119623b7d1957e323cb8f1754"
"charts/03-task-states.png","44864","6df7341b9b5d9642923cb5f64c92c31693785df5ddab90cfc7f07dfac8d0f25c"
"charts/04-capacity-forecast.png","65472","0bbfd730ac08f3d44585acd8ab55b650d7e464f361c636dbf7b3fe9f4b818bfe"
"collect_final_db_evidence.py","2167","e64022ba479087a39af94fcaa3b77ad13fe3be9654ab0cc07f9411ea9c014819"
"database-account-after.csv","113","52692dd049922adf8af48a69a2add5fddeeeeb5869b0d74be7542615d5dcdd2c"
"database-task-evidence.csv","10678","1bec2bce6be17e7b0d8915d6740796fe81121b1e5521cd6fbe5fe55361ba1682"
"loadtest-stderr.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"loadtest-stdout.log","1041","8aa8e470c42dbaa7d480dea84944134d17c115ec761eea8283d6abd4a07c3089"
"loadtest-summary.json","1194","ad37eed27c0ceccd1faca78c32e2f9a8b5b47dc45e8fda131b5e6bef809a2dd5"
"monitor_servers.py","7631","d4437cc0d3c6faf78b152db5443d198937730f9c864dfacf1a93c8f6f8083830"
"monitor-status.jsonl","69791","705ef7abbad666bd89c38991c8042531450edba7dcd7dc5fa2f387de9d67c813"
"monitor-stderr.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"monitor-stdout.log","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"polling-events.jsonl","445865","65e46d9ad5e52d5e707c31df8a6084b16069099fff8ff821a208d2ca60067df4"
"REPORT.html","10554","2b2235e11fee0ebe8ad32b43c5155b7f6804549818cb4fedf62fa94969bf0734"
"REPORT.md","11011","cc136a586a08a1d264b7e333c6bf900a576dffc7c592dee0e461fe4c056a6138"
"REPORT.pdf","1261436","f371e2f57c0e4b38f8cc4c7bf552fab68be3964094871e746718aff4c5c2cd55"
"run_seedance_loadtest.py","11262","bf381bc69efb3d101fa67f25596a7e0c6845391cf3fa6e7af249c33e8a72aa23"
"screenshots/01-playground-config-before.png","49554","c77bf00f26d75ee76c81bc58d15900eac4c36563f89c104beb9e2e025a6376dc"
"screenshots/02-seedance-pricing.png","199343","ff769b47951fcbb2964a1eea053bc4c045278ed6ca790142fda1015982175d88"
"screenshots/03-balance-before.png","71294","ef878c1fdf9dd7338d0bb58d9df7e38e0aeb7acf736f57dcea13c7232fa76b23"
"screenshots/04-task-log-before.png","83363","be70834167ea53f5b45032cf29e06fe75b30293511983c2f60e05b937d5ab910"
"screenshots/05-ready-before-submit.png","60729","ddb98c3131b8c424ecc94f7fcbe1e36f381a3f9fbe4c64796657784b31c4740a"
"screenshots/07-seedance-ready-expanded-test.png","65109","46097d2656793c3647b800fce60fbba5970cb47c063d33ce5c990411b4fb6092"
"screenshots/08-task-log-during-load.png","54379","dba60f9d13640e6f862972035bac6c07a468853165733fbd70cd6b8622dfc74f"
"screenshots/10-playground-probe-success.png","72074","9fad1313f3e0369f431e7c6d6bc16457f6ef5c45da9c30046040124cc7230b6d"
"server-analysis.json","8471","32339d39a48ea1a007ec3878e74b82e8a5ee63eb948706bc3bd234deaf3f9c59"
"server-metrics-newapi.jsonl","634126","f4916d95e48f597ffac8e9c7446601e709a4f731a18fd1a9361279b6e9d83ee6"
"server-metrics-upstream-aipdd.jsonl","643767","982d68a893a07dadf6fc45f2bf1c4a533388faeeba840ac013fe67da57a7b0d5"
"STOP_MONITORING","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"submission-results.jsonl","34268","175eb0dc2a0ad73585b15a373c7c3bd16175b4ad7f96ec690c8d35220aeefc4b"
"task-performance.csv","8217","a447c666d79bc163e92b3ce3c242e2bcab0338edb3492d46592d62761b9ff208"
"task-state-timeline.json","6593","b4fe45b06c2b08770635b21b531356249e86664459bce0ce2788405fd22804ff"
